company,ROA,ROE,CR,DR,TR
유한양행,3.585214607,4.424951434,81.02268828,23.42221929,49.24837234
녹십자,1.837352852,2.794829111,65.74115193,52.11172464,51.11551594
광동제약,1.779341237,2.724258179,65.31470662,53.10487512,91.89443083
대웅제약,1.808751746,3.527339594,51.27807228,95.01513131,80.637993
한미약품,1.350613046,3.165941819,42.66070331,134.4077623,63.98087838
셀트리온제약,-0.011634006,-0.017190604,67.67653619,47.76169944,15.43984403
제일약품,0.053732397,0.123401791,43.54263905,129.6599429,30.31646781
종근당,3.529102165,6.121853778,57.64760632,73.46774027,113.6751714
동아에스티,-0.667467406,-1.150406127,58.02015389,72.35390341,46.00997561
조아제약,0.526204308,0.795510286,66.14676351,51.17897641,55.30969917
보령제약,0.867428617,1.747501454,49.63822004,101.4576669,105.9441319
일동제약,1.390033935,2.818368232,49.32052238,102.7553545,80.93503576
동화약품,1.990128377,2.577362058,77.21570862,29.50732667,49.69521521
부광약품,3.622641962,4.024161449,90.02228184,11.08360948,33.45216081
한독,0.342326002,0.692216711,49.45358823,102.2097962,65.61207251
삼진제약,8.031138503,10.21814878,78.59680532,27.2316344,68.52417568
삼천당제약,3.615939788,4.527481835,79.86646706,25.20899407,51.12825038
신일제약,4.183385592,4.673917713,89.50490463,11.72572097,27.1593406
동성제약,0.384281253,0.855806101,44.90284109,122.7030575,74.05202138
